# ----------------------------------------
# 사용자 획득: 신규 사용자 기본 채널 그룹(기본 채널 그룹)
# 계정: charlla
# 속성: charlla
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260401
# 종료일: 20260430
신규 사용자 기본 채널 그룹(기본 채널 그룹),첫 사용자 소스 / 매체,총 사용자,새 사용자 수,재방문자 수,활성 사용자당 평균 참여 시간,활성 사용자당 참여 세션수,이벤트 수,주요 이벤트,사용자 주요 이벤트 비율
Referral,kodia2511.cafe24.com / referral,2,2,0,0,0,18,0,0
Referral,litolito.cafe24.com / referral,2,0,2,68.5,1.5,70,0,0
Referral,looxloo27.cafe24.com / referral,2,1,1,105,2,61,0,0
Referral,mangomgmp.cafe24.com / referral,2,0,2,331,1,37,0,0
Referral,megadoga.jp / referral,2,2,0,6.5,0.5,13,0,0
Referral,minimalpiercing.cafe24.com / referral,2,1,1,14,1,28,0,0
Referral,molliollicom.cafe24.com / referral,2,2,0,64.5,1,21,0,0
Referral,naya3787.cafe24.com / referral,2,2,1,1.5,0.5,30,0,0
Referral,orgabon.cafe24.com / referral,2,1,2,5,0.5,30,0,0
Referral,plan5f.cafe24.com / referral,2,0,2,159.5,0.5,43,0,0
Referral,prtimes.jp / referral,2,2,0,12,0.5,10,0,0
Referral,republish1.cafe24.com / referral,2,2,1,101,1,36,6,1
Referral,rhunher.cafe24.com / referral,2,2,1,65,1,38,0,0
Referral,sisshop.cafe24.com / referral,2,1,1,78.5,2.5,136,0,0
Referral,skitbeauty.cafe24.com / referral,2,2,2,21,1,58,0,0
Referral,sw10gtt.cafe24.com / referral,2,1,1,89,1,48,0,0
Referral,thewoorin.cafe24.com / referral,2,1,2,36,1,32,0,0
Referral,ubridge001.cafe24.com / referral,2,0,2,34.5,2,68,0,0
Referral,urbancarry.cafe24.com / referral,2,0,2,167.5,1,54,1,0.5
Referral,zappyrex01.cafe24.com / referral,2,1,1,365,0.5,30,0,0
Display,featpaper / banner,1,1,0,0,0,3,0,0
Organic Search,m.naver.com / referral,1,1,0,0,0,3,0,0
Organic Search,qwant.com / organic,1,1,1,0,0,6,0,0
Organic Social,l.instagram.com / referral,1,1,0,0,0,4,0,0
Organic Social,m.blog.naver.com / referral,1,1,0,45,1,19,0,0
Organic Video,youtube.com / referral,1,1,0,34,1,10,0,0
Referral,127.0.0.1:5500 / referral,1,1,1,17,2,39,0,0
Referral,accounts.google.co.kr / referral,1,0,1,309,2,43,0,0
Referral,ageatlabs.cafe24.com / referral,1,1,0,2,0,9,0,0
Referral,agoraagora.cafe24.com / referral,1,0,1,81,1,16,0,0
Referral,ahres.cafe24.com / referral,1,0,1,62,2,49,0,0
Referral,aketing.cafe24.com / referral,1,1,0,0,1,9,1,1
Referral,alswn0192.cafe24.com / referral,1,1,1,284,2,44,3,1
Referral,altalks.cafe24.com / referral,1,1,1,206,1,21,1,1
Referral,amply722.cafe24.com / referral,1,0,1,3,1,8,0,0
Referral,anbio.cafe24.com / referral,1,0,1,52,1,15,0,0
